,type_avion,emission_co2,emission_h2o,emission_sox,emission_nox,emission_co,emission_hc
0,A320,1859.5078609200598,726.3241247798262,0.49602623155695463,6.557275484062749,2.041668722823763,0.13446790282307922
1,A320,2277.0930411159056,889.4329757296154,0.6074176419616889,10.560832954531847,2.723632889349698,0.25922383693253387
2,E190,1804.9007671287382,704.9945835402825,0.4814597155884854,6.558958945260129,3.1531169726344492,0.2057115276629993
3,E190,1910.9060386939295,746.4002628115385,0.5097367648469047,7.330139917653497,2.472360191230578,0.12902024594228007
4,B738,2616.519454250468,1022.0129973731587,0.6979600957670353,14.764516313770077,2.22028895199638,0.2273661727748685
5,B738,3169.2976496893803,1237.9282658361194,0.8454144254490567,19.94564455699533,1.642437840644668,0.18733179038854406
9,A319,3111.675171250054,1215.4209147785218,0.8300435515560638,15.300176378363142,2.1311740037076246,0.062311457017741066
10,A319,2484.335567789625,970.3819461356748,0.6626998656536324,9.822315916796656,2.6722710807213743,0.08414939510381725
11,A319,2451.539348778484,957.5717367410399,0.6539514299694902,9.74887186650955,2.430683114634091,0.06555255058050345
12,A319,2374.158980348284,927.346950088406,0.6333101122554967,10.642756778692338,4.7852780588815,0.2414880247923777
17,A321,2791.274437344356,1090.272327066866,0.7445762233627381,16.44660567600734,2.552283772044023,0.27364822133066924
18,A321,3183.880528296569,1243.6243409986603,0.8493044279990851,20.615075723223878,1.9132965843197447,0.21216817400171334
19,A319,2124.175357791126,829.703299486531,0.566626643551777,6.839251288599196,2.5718976302028502,0.05508718697873016
20,A319,2103.1543319671878,821.4924827944238,0.5610192565425334,6.70458218819334,2.5254491225701203,0.047707257442928856
21,A319,2273.544555100654,888.0469364159425,0.6064710785279609,8.793885420922601,3.1981469490031094,0.11742523598752606
22,A319,2311.4419037814437,902.849648031494,0.6165802474361419,8.635620501266562,2.8709762050335965,0.091329391789019
25,A321,4890.8862004098,1910.3810817732783,1.3046504948695559,43.36332753799146,2.8087032147900097,0.356443303434793
26,A321,3008.6501175176345,1175.1793091605873,0.802561479426743,18.334181297035787,1.803585925362349,0.1900245561514851
27,A321,2375.440043008983,927.8473334077642,0.6336518374492046,9.99067445928472,1.4620552188411962,0.12548298117430917
28,A321,2699.766909809037,1054.5294693760288,0.7201664668909463,15.40938648583161,2.6170031986888893,0.2799754430734759
29,A321,2337.3038053463288,912.9513117103811,0.6234789445826988,9.811386857602043,1.6993662128370168,0.15708216340874867
41,A320,1836.3805567273278,717.2905953555453,0.4898569919501283,6.523777812919488,2.080918402471414,0.1426073726477916
42,A320,2258.0543835840012,881.9964724700928,0.6023390543698199,10.263347624268969,1.9545905832660966,0.15465652596877247
43,A320,1907.5092826627695,745.0734892585591,0.508830675591212,6.525053050542692,1.734766339008137,0.10389969782655153
44,A320,2264.9485302872768,884.6893274859798,0.6041780773074977,10.492188517749675,2.9175941426962906,0.283409818505285
51,A319,2248.035772194532,878.0832009524528,0.5996665762602118,8.943162485835689,3.766665635546446,0.1615315125316036
52,A319,2739.917736762651,1070.2123900343167,0.7308767541697772,11.981701059227731,2.518196322540429,0.07674885585989229
53,A319,3361.641975077513,1313.0579959813729,0.8967225338409373,17.168669538951114,2.0840464292442484,0.07357957823694466
54,A320,1944.2341862864266,759.4182436114015,0.5186270931980306,6.9477930099410905,2.3557498198143083,0.1862136587233155
55,B752,4346.0341306520995,1697.5617595116187,1.1593104699103727,19.0312729748694,3.514792178872513,0.06056528513728649
56,A320,1769.4354660471545,691.1418301803747,0.4719992986597681,5.370847881921146,5.734581510024006,0.6400475078483538
57,A319,2522.745752606715,985.3849716437784,0.6729458342933121,10.65073065844019,2.3001944767269267,0.057656543916577374
58,A319,2501.2120655305785,976.9739093688823,0.6672016942031389,10.176009056816016,2.3248604112472693,0.057065709881400896
59,A319,2658.166381878337,1038.2802952398702,0.7090694699199107,11.640268115919245,2.176128863893822,0.05342839628234148
60,A319,2714.414546011483,1060.250838867617,0.7240737436169097,11.921063615804869,2.46770877913111,0.07536264538762245
61,A319,2124.2640748759454,829.7379523967642,0.5666503089538878,7.8266023897980554,3.495202636752457,0.13754652993069194
62,A320,2122.3783777535655,829.0013987414698,0.566147296701491,9.412053382231633,2.5432475113276296,0.22912041202645736
63,A320,2270.0363115979644,886.6766158353422,0.6055352498387703,10.541602187830268,2.6321906948004115,0.24636577985998542
64,A320,2435.3827075989275,951.2609496178743,0.64964162412928,12.780286783685257,3.4823479770952814,0.3726143453700262
65,A320,4577.006837194431,1787.7797426958236,1.2209227511093428,36.68438148681803,3.532914453172007,0.46648276118866716
66,A320,1997.0325003081134,780.0412751282889,0.5327111147217588,8.480773017788767,3.6017143694555824,0.36797350689768116
67,A320,1758.3337796122862,686.8055093436378,0.469037908820045,5.782103203142064,3.4302610557936113,0.33199197755014026
