,type_avion,age_avion,nombre_passagers,consommation_carburant
0,A320,,,0.6545392196769938
1,A320,,,0.8293123306297621
2,A319,2007.0,106.0,0.7094784492237857
3,A319,2007.0,106.0,0.8359699136152247
6,B738,2011.0,,0.6369728063437246
7,B738,2011.0,,0.6719519609546623
10,A320,2006.0,,0.6367392814048687
11,A320,2006.0,,0.7791420822319403
12,A320,2001.0,140.0,0.6792224261538521
13,A320,2001.0,140.0,0.6958510267320344
16,A319,,,0.5982621916891987
17,A319,,,0.688812193165979
18,A319,,,0.9244198280072335
19,A319,,,0.76842953620995
20,A319,,,0.8549095063702326
21,A319,,,0.8088882673045518
23,A320,2002.0,,0.7398669525926482
24,A320,2003.0,165.0,0.5013400510512573
25,A320,2003.0,165.0,0.7546087361832103
26,A320,2009.0,,0.68685755951604
31,A321,1994.0,,0.9515713782782904
32,A321,1994.0,,0.8124962692601095
33,A321,1994.0,,0.9078084724111489
34,A321,1994.0,,0.832707123277892
35,A321,1994.0,,0.9942224627951503
36,A321,1995.0,,0.8782983618890754
37,A321,1995.0,,0.9497812339240796
38,A321,,,0.8570951199741313
39,A321,,,0.9464194830750444
40,A321,,,0.8846404719573837
41,A319,2000.0,,0.7371041694844785
42,A319,2000.0,,0.6905469066185252
43,A319,2000.0,,0.8740016509860837
44,A319,2000.0,,0.7418538492193154
48,A321,2008.0,,0.8163316555045079
49,A321,2008.0,,0.8746078968195953
50,A321,2008.0,,0.9109572964137638
51,A321,2008.0,,0.8919462324619933
52,A321,2008.0,,0.9820711934490015
70,A320,2010.0,,0.6260721391957749
71,A320,2011.0,,0.7798680453418194
72,A320,2011.0,,0.7194295818088883
73,A320,2011.0,,0.7100646014128625
74,A320,2011.0,,0.7040212353209436
75,A320,2011.0,,0.71285762721185
76,A320,2011.0,,0.7108893453364901
77,A320,2011.0,,0.7414482924354082
78,A320,2011.0,,0.6811787260765643
79,A320,2011.0,,0.6766241060698571
80,A320,2011.0,,0.6650336288963129
81,A320,2011.0,,0.7878502056026742
82,A320,2011.0,,0.6696082024490982
85,A320,2013.0,,0.691870494083697
86,A320,2013.0,,0.6968943011549042
97,A319,1996.0,138.0,0.7073349634668994
98,A319,1996.0,138.0,0.9866249566750164
99,A319,1997.0,138.0,0.5385085573480487
100,A319,1997.0,138.0,0.6336428342678223
103,A320,2015.0,,0.5561848853115589
104,A320,2015.0,,0.5509478210359905
105,A320,2009.0,168.0,0.8547758528932413
106,B752,1996.0,249.0,1.2988253320553997
107,B752,1996.0,249.0,1.3775732169725008
110,A320,2003.0,,0.7518142646507412
111,A320,2001.0,180.0,0.5964051619887898
112,A320,2001.0,180.0,0.5839943403713284
114,A319,2006.0,156.0,0.8106516387518572
115,A319,2006.0,156.0,0.7130237670434012
116,A319,2006.0,156.0,0.711615489645369
117,A319,2006.0,156.0,0.6880660514494797
118,A319,2006.0,156.0,0.7827707219965687
119,A319,2006.0,156.0,0.7783073001152186
120,A320,,,0.5275648260011846
121,A320,,,0.6465068123349942
122,A319,,,0.727381424961985
123,A319,,,0.769633683037027
124,A319,,,0.9382565957207036
125,A319,,,0.9391022070927301
126,A319,,,0.7435490201313676
127,A319,,,0.7417045563709181
128,A319,,,0.808378925157198
129,A319,,,0.6993334396548869
130,A320,,,0.5736031883552374
131,A320,,,0.5586461453100411
132,A320,2015.0,,0.5833801582625633
133,A320,2015.0,,0.5349216359391977
134,A320,,,0.6757250953630479
135,A320,,,0.788580150782689
136,A320,,,0.5512373758755835
137,A320,,,0.5824794697440583
138,A320,,,0.6907049368303952
139,A320,,,0.7202644984064447
140,A319,,,0.7665005522317572
141,A319,,,0.8203550223392524
142,A319,,,0.7952808842914062
143,A320,,,0.8048869765887651
146,B737,2008.0,129.0,0.6219855185594386
147,B737,2008.0,129.0,1.0959106869624529
148,E190,,,0.5733383576891224
149,E190,,,0.5400742395964483
150,E190,,,0.46355170925984857
151,E190,,,0.41874818218709486
152,E190,2011.0,106.0,0.5980999552621098
153,E190,2011.0,106.0,0.5236425762409275
154,B738,2009.0,189.0,0.7584452205562264
155,B738,2009.0,189.0,0.87110936590301
156,B738,2009.0,189.0,0.6908127497452676
157,B738,2009.0,189.0,0.6118414372242843
158,B738,2010.0,189.0,0.7686482039506104
159,B738,2010.0,189.0,0.9056403155764114
160,A320,2011.0,182.0,0.7880254673426116
161,A320,2011.0,182.0,0.669455311512918
162,B738,2012.0,189.0,0.7896450400096113
163,B738,2012.0,189.0,0.9125137938475497
164,B738,2012.0,189.0,0.805796119123669
165,B738,2012.0,189.0,0.950148792503382
168,B738,2016.0,,0.6213572268260055
169,B738,2016.0,,0.66407218513549
170,B738,2017.0,189.0,0.9339589597320329
171,B738,2017.0,189.0,0.659045541916944
172,B738,2017.0,189.0,0.7553116769457843
173,B738,2017.0,189.0,0.6240169955096002
174,B738,2017.0,189.0,0.6795082833932883
175,B738,2017.0,189.0,0.7304464971987537
176,B738,2017.0,189.0,0.9244209185975891
177,B738,2017.0,189.0,0.7136020020724418
