,type_avion,age_avion,nombre_passagers,consommation_carburant
0,A320,,,0.7392661463610294
1,A320,,,0.6708824868547042
2,A320,,,0.727440919182064
3,A320,,,0.7841168423353915
4,B738,2001.0,,0.734348535755129
5,B738,2001.0,,0.7180929661276813
6,B738,2010.0,,0.7561621206759483
7,B738,2010.0,,1.0401722092474344
14,A319,,,0.9612881996429654
15,A319,,,0.7465373828805146
16,A319,,,0.9615627655538648
17,A319,,,0.7276017927913687
18,A319,,,0.7379999893732848
19,A319,,,0.9732767172650508
23,A320,2001.0,,0.7449480065659344
24,A320,,,0.6776727775209647
25,A321,1995.0,,0.8712018798174532
26,A321,1995.0,,0.8577750592623309
27,A321,1995.0,,0.8337455320160498
28,A321,1995.0,,0.8820043822679698
29,A321,1995.0,,0.8495780964467775
30,A321,1995.0,,0.8283573143041055
31,A321,1995.0,,0.8320388251612365
32,A321,1995.0,,0.8724072059823132
33,A321,1995.0,,0.8517806228661461
34,A321,1995.0,,0.8728792777087699
35,A321,1995.0,,0.8563477550575145
36,A319,2000.0,,0.7823764742892516
37,A319,2000.0,,0.768786134506375
38,A319,2000.0,,0.7130690249802778
39,A319,2000.0,,0.7383189070419012
40,A319,2000.0,,0.7718080055388488
41,A319,2001.0,,0.7511020620255849
42,A319,2001.0,,0.7125286193571986
43,A319,2001.0,,0.7223902704359365
49,A321,2008.0,,0.9104774766112181
50,A321,2008.0,,0.8778094560707882
51,A321,2009.0,200.0,0.9655406738998135
52,A321,2009.0,200.0,0.7381848949127225
53,A321,2009.0,200.0,0.7255621790289168
54,A321,2009.0,200.0,0.9402605754578263
79,E190,,,0.5286942567846405
80,E190,,,0.7549687050471522
81,E190,,,0.42289674487974754
82,E190,,,0.5069365127406155
83,E190,,,0.6710630158136882
84,E190,2020.0,100.0,0.5650955644689138
85,E190,2020.0,100.0,0.7339437881243877
86,E190,2020.0,100.0,0.5408527964961989
87,A320,2011.0,,0.6601143349937233
88,A320,2011.0,,0.7190370804796673
89,A320,2011.0,,0.7034840432844123
90,A320,2011.0,,0.6825420514091726
91,A320,2011.0,,0.6595015522313374
92,A320,2011.0,,0.6884880196870854
93,A320,2011.0,,0.681425902117079
94,A320,2011.0,,0.6609446466351115
95,A320,2012.0,,0.6798422379711814
96,A320,2010.0,,0.6814680512665101
97,A320,2010.0,,0.7439316806065923
98,A320,2013.0,158.0,0.7448802630043839
99,A320,2013.0,158.0,0.7142672691533329
109,A319,2008.0,,0.7544219138769861
110,A319,2008.0,,1.0456787945194945
111,A319,,,0.6997676191387003
112,A319,2011.0,,1.00153991299447
113,A319,,,0.9551511066095967
114,A319,,,0.7362100564393532
115,A319,1997.0,138.0,0.8934205110599464
116,A319,1997.0,138.0,0.7502292895347215
117,A319,1998.0,138.0,0.7414946315456288
118,A319,1998.0,138.0,0.8442796971965766
119,A320,2009.0,168.0,0.6504531767473609
120,A320,2010.0,168.0,0.9582953718100578
121,B752,1995.0,,1.209844342922424
122,B752,1995.0,,1.4289709767081298
123,A320,2003.0,,0.6843601452961499
124,A320,2008.0,162.0,0.5697329590749752
125,A320,2008.0,162.0,0.546074771135351
126,A320,2014.0,162.0,0.6837009613810416
127,A320,,,0.6548152626775054
128,A320,,,0.633149716017534
129,A320,,,0.722098155686371
130,A320,,,0.6531292889792085
131,A320,,,0.6773678612274112
132,A320,,,0.6782183744649991
133,A319,2008.0,156.0,0.6903915097404483
134,A319,2008.0,156.0,0.7017409578910138
135,A319,2008.0,156.0,1.0383081292883418
136,A320,2015.0,,0.6558299799893198
137,A320,2015.0,,0.7130267560863746
138,A320,2015.0,,0.7260836920669193
139,A320,2015.0,,0.689127873471807
140,A320,2015.0,,0.7704672218665217
141,A320,2015.0,,0.6548584286845476
142,A319,,,0.789870263416394
143,A319,,,0.6876694929417319
144,A319,,,0.7018178787382253
145,A319,,,0.6293684456187976
146,A319,,,0.6066013489292591
147,A319,,,0.599554765342017
148,A319,,,0.6288063639303915
149,A319,,,0.7787808238031053
153,E190,,,0.5166005869062763
154,E190,,,0.5623803691569809
155,E190,,,0.566143164278476
156,E190,,,0.5067878302588023
157,E190,2011.0,,0.5488291570997869
160,A319,2011.0,156.0,0.653320540769604
161,A319,2011.0,156.0,0.5658505755732038
162,B738,2009.0,189.0,0.7588805125028959
163,B738,2009.0,189.0,0.8352463959482164
164,B738,2009.0,189.0,0.6593937906446469
165,B738,2009.0,189.0,0.7008012575419175
