,type_avion,age_avion,nombre_passagers,consommation_carburant
0,E190,2014.0,,0.5274818349709
1,E190,2014.0,,0.6909975063528762
2,A320,2012.0,168.0,0.6666414328906759
3,A320,2012.0,168.0,0.8138210258289477
8,B738,,,0.5593616450240166
9,B738,,,0.7504578489077349
12,A319,,,0.9078702586637465
13,A319,,,0.8051334548819039
14,A320,,,0.6849645079874889
15,A320,,,0.8385763023192936
16,A319,,,0.7613281066882315
17,A319,,,0.48941468876852634
18,A319,,,0.6260944758902255
19,A319,,,0.7329128249078908
20,A319,,,0.5858635799006678
21,A320,,,0.551480510213952
22,A320,2002.0,,0.6128862740413482
23,A320,2002.0,,0.5695424686753002
24,A320,2002.0,,0.5519776951283619
25,A320,2002.0,,0.5393916051190967
26,A321,1994.0,,0.9149871391297103
27,A321,1994.0,,0.8951813143514585
28,A321,1995.0,,0.9554894927603977
29,A321,1995.0,,0.8287717863256896
30,A321,,,0.9131086341464649
31,A321,,,0.9371622754955277
32,A319,1999.0,,0.7359135644386232
33,A319,1999.0,,0.7824211059880601
36,A321,2008.0,,0.8646862948549686
37,A321,2008.0,,0.8968154073293478
38,A321,2008.0,,0.8902555780189955
39,A321,2008.0,,0.8565285205960375
40,A321,2008.0,,0.8695420004036013
52,A320,2009.0,,0.7428749294003102
53,A320,2009.0,,0.8976542347534932
54,A320,2010.0,182.0,0.6851846782705175
55,A320,2010.0,182.0,0.7508775193131421
56,A320,2010.0,,0.6755659849546173
57,A320,2010.0,,0.718293716259728
58,A320,2010.0,,0.7106225400369858
59,A320,2011.0,,0.7065781793835377
60,A320,2011.0,,0.7104147872435416
65,A319,1997.0,138.0,0.7741311556062234
66,A319,1997.0,138.0,0.9299216261760902
67,A320,2010.0,168.0,0.7602147102038946
68,A320,2010.0,168.0,0.5324408468177361
69,A320,2010.0,168.0,0.5567861029225852
70,A320,2013.0,168.0,0.6680001920608934
71,A320,2013.0,168.0,0.6706908399637952
72,B752,1995.0,,1.3873527662320848
74,A319,2001.0,132.0,0.7787470240887063
75,A321,2004.0,,0.8805836029204072
76,A319,2007.0,156.0,0.7392076436896814
77,A319,2007.0,156.0,0.8088893905498172
78,A320,,,0.8165208309115299
79,A320,,,0.5714547749635568
80,A320,,,0.6773513850296436
81,A319,2006.0,156.0,0.6871919932463711
82,A319,2006.0,156.0,0.8149335772235861
83,A319,2006.0,156.0,0.8957101949796873
84,A319,2006.0,156.0,0.7156931487020229
85,A319,2006.0,156.0,0.7421708299722933
86,A319,2006.0,156.0,0.7348920860177157
87,A319,,,0.8078911944697618
88,A319,,,0.805536922112439
89,A319,,,0.7893326448880852
90,A319,,,0.7551563172683143
91,A319,,,0.7691794523016127
92,A320,,,0.7181661654415723
93,A320,,,0.7290669049636112
94,A320,,,0.683892012672576
95,A320,,,0.7222077273457532
96,A320,2003.0,180.0,0.5954319971109107
97,A320,2003.0,180.0,0.6960451268738661
98,A320,2003.0,180.0,0.6835688253498795
99,A319,,,0.769002130956611
100,A319,,,0.7456037531013494
101,A319,,,0.791021978616946
102,E190,2012.0,,0.49813526885370346
103,E190,2012.0,,0.4349469271337043
105,B737,2008.0,129.0,0.7539482205885175
106,B737,2008.0,129.0,0.825373449936787
107,E190,2010.0,100.0,0.585157163779075
108,E190,,,0.5995328190110281
109,E190,,,0.6699377700258764
110,B738,2003.0,189.0,0.899256202426653
111,B738,2003.0,189.0,0.750178500615198
112,A320,2011.0,180.0,0.5815041138195125
113,A320,2011.0,180.0,0.49270882280009837
114,B738,2014.0,186.0,1.0462115022585552
115,B738,2014.0,186.0,0.9301472268535821
116,B738,2005.0,189.0,0.7235137435880591
117,B738,2005.0,189.0,1.0441304266147489
118,B738,2005.0,189.0,0.8542313823269831
119,B738,2005.0,189.0,0.9035111003204283
120,B738,2007.0,189.0,0.8830236594931635
121,B738,2007.0,189.0,0.8103747025278498
122,B738,2009.0,189.0,0.65360283460102
123,B738,2009.0,189.0,0.7513586387294428
124,B738,2012.0,189.0,0.7443291919921736
125,B738,2012.0,189.0,0.7864159648938824
126,B738,2017.0,189.0,0.5576845478729858
127,B738,2017.0,189.0,0.6999945079759158
128,B738,2017.0,189.0,0.535465779726109
129,B738,2017.0,189.0,0.6529181460428102
130,B738,2017.0,189.0,0.6551521189242114
131,B738,2017.0,189.0,0.6984751640809921
132,B738,2017.0,189.0,0.7545834709845551
