,type_avion,age_avion,nombre_passagers,consommation_carburant
0,A320,2010.0,,0.661973282312238
1,A320,2010.0,,0.7817295016148964
2,A320,2013.0,,0.6287743016385502
3,B738,2010.0,,0.812371046495624
4,B738,2010.0,,0.9343025558727343
5,B738,2011.0,,0.7118856225535154
6,A320,2003.0,,1.7655056728218808
7,A320,2003.0,,0.749484618131791
10,A319,,,0.9239680525216857
11,A319,,,0.8127438943801931
12,A319,,,0.9451257751280618
13,A319,,,0.8726580884347759
16,A319,,,0.9369798668453366
17,A319,,,0.6565991121935081
18,A319,,,0.855111704164278
19,A319,,,0.7283235800947695
21,A321,,,0.8780738590503148
22,A321,,,0.8572110678359091
23,A321,1995.0,,0.885292542133673
24,A321,1995.0,,0.9262631214024984
26,A319,2000.0,,0.7050897638340056
27,A319,2000.0,,0.7895503163494881
28,A319,2001.0,,0.7235285511257427
29,A319,2001.0,,0.7823466598365539
30,A319,2001.0,,0.8511043527729372
34,A321,2008.0,,0.8936373620911049
35,A321,2008.0,,0.8758127826067169
36,A321,2009.0,,0.9089633845783046
47,A320,2010.0,182.0,0.6857638775234494
48,A320,2010.0,182.0,0.7165418781775775
49,A320,2010.0,,0.701104399297018
50,A320,2010.0,,0.6617482708567324
51,A320,2010.0,,0.7828450863650107
52,A320,2010.0,,0.704436458187961
53,A320,2011.0,,0.7063354989999163
54,A320,2011.0,,0.7057615049699224
55,A320,2011.0,,0.5975352995539959
56,A320,2011.0,,0.5706232288235576
57,A320,2011.0,,2.2432072364449245
58,A320,2011.0,,0.6995972124323799
59,A320,2011.0,,0.6632345216749043
60,A320,2011.0,,0.6914680683386643
61,A320,2011.0,,0.8559593198398775
62,A320,2011.0,,0.6838822098371192
63,A320,2011.0,,0.7412046632333518
64,A320,2011.0,,0.6797247209773992
65,A320,2011.0,,0.7126805414247466
66,A320,2011.0,,0.6667245417832054
67,A320,2012.0,,0.5661007065243943
68,A320,2012.0,,0.5792533043054082
69,A320,2012.0,,0.551690062080712
75,A319,,,1.1275819161348324
76,A319,,,0.8054836042792128
78,A319,1996.0,138.0,0.742523737880167
79,A319,1996.0,138.0,1.1594313500188003
81,A320,2015.0,,0.6690959312438406
82,A320,2015.0,,0.9208884542917757
83,A320,2010.0,168.0,0.9155872145851763
84,A320,2010.0,168.0,0.7854250114602016
85,A320,2010.0,168.0,0.7965829814542962
86,B752,1995.0,,1.035544630179971
87,B752,1995.0,,1.0810685867904364
89,A320,2002.0,162.0,0.6917273527985923
90,A320,2002.0,,0.7535884669795525
91,A320,2002.0,,0.7212421292808484
92,A320,2002.0,,0.7409795128970673
94,A319,2006.0,156.0,0.8165279447517504
95,A319,2006.0,156.0,0.7637689946933695
96,A319,2006.0,156.0,0.7296124796940862
97,A319,2006.0,156.0,0.7360423187837378
98,A319,2006.0,156.0,0.8939838324966511
99,A319,,,0.7392916984891631
100,A319,,,0.7344212367183797
101,A319,,,0.6543026695949898
102,A319,,,0.8491353650303456
103,A319,,,0.7785269035486093
104,A319,,,0.6167953631952767
105,A320,2015.0,,0.7641673559496129
106,A320,2015.0,,0.7546848465919935
107,A320,2015.0,,0.837033526114985
108,A320,2015.0,,0.7786788520504583
109,A320,,,0.7929900769808977
110,A320,,,0.7059777764483742
111,A320,,,0.5750644807284769
112,A320,,,0.7714158488860486
113,A320,,,0.6914681313740434
114,A320,,,0.7323668978172471
115,A320,,,0.8016564289577393
117,A319,,,0.8382766871937001
118,A319,2003.0,147.0,0.7315612446977623
119,A320,2007.0,,0.710419602080861
120,A320,2007.0,,0.7171498757816196
121,B738,2011.0,171.0,0.707634599805872
122,B738,2011.0,171.0,0.681067271279434
123,E190,,,0.5746501358637881
124,E190,,,0.5142844733619918
125,E190,,,0.46123475869329233
126,E190,2011.0,106.0,0.5475810254975366
127,A320,2012.0,180.0,0.8336564044094711
128,A320,2012.0,180.0,0.9787385172627235
129,A320,,,0.6863310658721387
130,A320,,,0.8392588715481516
131,A320,2000.0,,0.7457636630016403
132,A320,2000.0,,0.7104452256517615
133,B738,2009.0,189.0,0.804466173354643
134,B738,2009.0,189.0,1.0369840275965538
135,B738,2009.0,189.0,0.6865580135071342
136,B738,2009.0,189.0,0.6856883655984373
137,B738,2009.0,189.0,0.7905044399154858
138,B738,2009.0,189.0,0.8781074214954977
139,B738,2010.0,189.0,0.6909981893074951
140,B738,2011.0,189.0,0.6753035203499401
141,B738,2011.0,189.0,0.6965603490639095
142,B738,2012.0,189.0,0.8604741127294274
143,B738,2012.0,189.0,0.7136337795499597
144,B738,2015.0,,0.6512481351878886
145,B738,2015.0,,0.6951415268219463
146,B738,2017.0,189.0,0.999395975207354
147,B738,2017.0,189.0,0.9342965830461871
148,B738,2017.0,189.0,0.7349475219008504
149,B738,2017.0,189.0,0.7986250831497745
150,B738,2017.0,189.0,0.7005055071922687
151,B738,2017.0,189.0,1.0831747482101077
