,type_avion,emission_co2,emission_h2o,emission_sox,emission_nox,emission_co,emission_hc
0,B738,2698.836025305307,1054.1658657115045,0.7199181521932233,14.025665953725657,1.9130707569603709,0.19146492019183592
1,B738,2133.7735601924255,833.4523591732876,0.5691869769963921,8.34259845468994,1.612014720690093,0.13350457484807288
2,A320,2085.971223983693,814.7807575420586,0.5564356392970159,8.767434039425094,3.078102956567444,0.2975786090511159
3,A320,2224.6087902345375,868.9326173351808,0.5934173972045135,10.149098569198763,2.5103836237977055,0.2330936978187735
4,A319,2291.070874716331,894.892720197234,0.6111462479395738,8.744784732451647,2.9970705547933756,0.10201858202885032
5,A319,2767.454435710775,1080.9682298902032,0.7382222057786751,12.14243770847426,2.432832289487257,0.07078779266799826
6,A320,2063.040601441687,805.824052008026,0.5503188647859693,9.584115720795946,4.210988851918339,0.4562051694702451
7,A320,2427.8948543882393,948.3361927270669,0.6476442291794604,11.870014542654715,2.255948737339077,0.20020126967878385
8,B738,2488.335916743027,971.9444831990859,0.6637669641359606,12.573376249900093,1.9124753536098498,0.18349159849851887
9,B738,2717.8146057015633,1061.5789028303989,0.7249807141280773,14.531820224576318,1.5864356383234843,0.15689319979548252
11,A320,2177.1312075235537,850.3878644820486,0.5807526879389603,10.155957541203785,3.4594639834924297,0.354793192987489
13,A319,2961.771926575834,1156.8686788467069,0.7900566587245796,13.713275060948419,2.3152275710907744,0.06922164407217928
14,A319,2097.378043248784,819.2362633204214,0.5594784237310189,8.15833418345557,4.493945371245649,0.2124487549622747
15,A319,2772.2499769933875,1082.8413692289182,0.7395014228880421,12.746287338544127,2.7871667672203224,0.10137235460150737
16,A319,2685.595982755026,1048.9943025686512,0.7163863529737131,12.721118792325212,3.889540957683635,0.18492447348126623
17,A319,2367.9263962453383,924.9125015502593,0.6316475620343235,9.81162327268197,3.412341863364357,0.13872748970747656
18,A319,2783.642353926743,1087.2912338297517,0.7425403548105635,12.605151670767905,2.3573824525300764,0.07139656188474232
24,A319,2646.013102954597,1033.5332221766125,0.7058275663645165,11.401503771804835,2.5097390150510486,0.07697021925448953
25,A319,2216.7604066375297,865.8670372067841,0.591323830287559,8.357938034633731,3.364058131239142,0.13440554035223776
26,A319,1889.7505779945643,738.1369358314748,0.5040935171532015,6.631320289755188,4.717074240201482,0.22427337413944792
27,A319,2837.431695927958,1108.3013610642704,0.7568887343853555,12.866517222058583,2.459657142281714,0.07863190515697895
28,A319,2728.7104797596076,1065.834833313534,0.7278872032385114,11.736191294162158,2.3512021736127515,0.06726397425370154
29,A319,2173.778765824614,849.0784001156803,0.5798584195911964,7.993147815260008,3.3726794428875944,0.13342698791900903
30,A320,1917.314556238706,748.9034309855854,0.511446245551131,7.589076221412714,3.534273258044714,0.35449387225297124
31,A320,2340.8051831536227,914.3189505490483,0.6244129418383745,11.040071930821153,2.358699249231474,0.2103034524539367
33,A321,2951.071560365338,1152.6891137660732,0.7872023215963433,17.89255699095227,1.782621338478462,0.18937680660032058
34,A321,2798.503163865726,1093.0958690234506,0.7465044959184539,15.412225202298739,1.729762351028628,0.17599795448586156
35,A321,2861.4579684164414,1117.6860276761606,0.7632977749983527,16.295552199202483,1.8082200225544767,0.1860909348888393
36,A321,2498.743991745846,976.0098792783081,0.6665433321900636,12.736393740885926,2.372623576909772,0.24529764558157233
37,A321,2653.6421052772016,1036.5131119374262,0.7078626130304375,14.206390831476858,2.3165671013818945,0.2439997956233605
38,A321,2895.8318560752714,1131.1124747451825,0.7724670559235401,16.354027687520244,1.873824986383798,0.1984105557428603
39,A321,2705.860022976896,1056.9094405403544,0.7217918130519493,15.406832152326752,2.8583850802233615,0.31154241704908636
40,A319,2519.762094563058,984.2195542434313,0.6721499394833189,10.436743053779013,2.44441381591216,0.06843862069027348
41,A319,2437.1352031535403,951.9454747154198,0.6501091046837005,9.942763015435103,2.5404130873804567,0.07285039052663322
42,A319,2162.1887766007776,844.5513481165312,0.5767667743234843,8.143306242512878,3.60165700011252,0.1462150394764397
43,A319,2441.369578308796,953.599422457866,0.651238629971225,9.650755749503698,2.493577745766063,0.06832982044409903
47,A321,2766.8329409603925,1080.7254739222865,0.7380564212152205,15.571481213211422,2.1410470367478287,0.2234996776655642
48,A321,3004.9903577080595,1173.7498062816496,0.8015852335582001,18.227036357445886,1.8430755712731048,0.1976870424899769
49,A321,2382.592933314198,930.6412537238684,0.6355598805919104,10.188414223485225,1.6748274374988132,0.1562306563922454
50,A321,2925.1518017008016,1142.5648510930407,0.7802881909903696,17.789290055069856,2.231452183165374,0.2398907074598082
51,A321,2578.9285878933238,1007.3299978116178,0.6879326814323251,13.900116069901376,2.7088730058099104,0.2893696113170859
52,A321,2950.399090498274,1152.4264469078707,0.787022939351716,17.355583374851335,1.768065599823902,0.18907072346976614
53,A321,2802.904787914325,1094.815144215504,0.7476786350740008,15.609904221277489,1.7381175382965326,0.1818843057424724
54,A321,2319.526457482366,906.0074762474788,0.618736813047058,9.691730607991644,2.219211430793898,0.22014548984370613
55,A321,5576.392394989265,2178.1399319900906,1.487510197456647,54.71857955993355,3.219023332058644,0.4256592117574147
56,A321,2702.5313092393108,1055.6092443202124,0.7209038741699016,14.876501741758837,2.468490130775705,0.26349715607946583
57,A321,2573.405057887845,1005.1725059390445,0.6864592723486155,13.728942764485407,2.649828290590066,0.2815744155845182
58,A321,3398.751373865,1327.5529342184666,0.9066215160516364,23.59061023258096,1.9833383203473354,0.22615882210160318
59,A321,2713.9779198419797,1060.0802926026151,0.7239572729969079,14.529690802202474,1.7732000691057723,0.1784130538482023
