Unnamed: 0,type_avion,age_avion,nombre_passagers,consommation_carburant
0,A320,2011.0,163.0,0.5792318824276167
1,A320,2011.0,163.0,0.5973299224843326
2,A320,2011.0,163.0,0.6513420925011135
3,A320,2011.0,163.0,0.819360798590179
4,A320,,,0.698642656937294
5,A320,,,0.7400733577157684
6,B738,2010.0,,0.7912780128796393
7,B738,2010.0,,0.9460369958817824
8,B738,,,0.8051045484915464
9,B738,,,1.1553923441909555
18,A319,,,0.7147869873485724
19,A319,,,0.741655146434967
20,A319,,,0.7460042697651268
21,A319,,,0.7828947746051164
22,A319,,,0.817748925013711
23,A319,,,0.7921756131390851
29,A320,2002.0,,0.7389870463717293
30,A320,2002.0,,0.6477194893022478
31,A320,2002.0,,0.6821944006513403
32,A320,2002.0,,0.677059269538764
33,A320,2009.0,150.0,0.6763242971551765
34,A320,2009.0,159.0,0.7014474493401629
35,A319,1999.0,138.0,0.7757776373850367
36,A319,1999.0,138.0,0.7819438265846423
37,A319,2000.0,,0.7164083906142448
38,A319,2000.0,,0.6034876618466941
39,A319,2000.0,,0.7651582061252994
40,A319,2000.0,,0.7410861272525613
41,A319,2000.0,,0.744608267148952
42,A319,2000.0,,0.7538862129601317
43,A319,2001.0,,0.7314971884128675
44,A319,2006.0,,0.7367280622483501
45,A319,2006.0,,0.724362380169848
50,A321,2001.0,,0.8168367593243409
51,A321,2001.0,,0.7473955540134929
52,A321,2001.0,,0.7982792927619292
53,A321,2008.0,200.0,0.7254656437381044
54,A321,2008.0,200.0,0.7701456383770526
73,E190,2007.0,,0.5735084465770316
74,E190,,,0.5298852808307034
75,E190,,,0.546609871512212
76,E190,,,0.6048571564435766
77,E190,,,0.5675629642067431
78,E190,,,0.5666273726997898
79,E190,,,0.5995982175069106
80,E190,2009.0,,0.5908362142537642
81,A320,2010.0,,0.7391801056789893
82,A320,2010.0,,0.6923934644259431
83,A320,2010.0,,0.6677751369496557
84,A320,2010.0,,0.685556892327491
85,A320,2010.0,,0.7323465641565181
86,A320,2010.0,,0.6930067260653818
87,A320,2010.0,,0.6936196135498502
88,A320,2011.0,,0.6999910943407438
89,A320,2011.0,,0.7092103398765432
90,A320,2011.0,,0.6368920273050824
91,A320,2011.0,,0.6815185588700434
92,A320,2011.0,,0.6915789522608891
93,A320,2011.0,,0.7208881015314647
94,A320,2011.0,,0.6875649337268417
95,A320,2011.0,,0.7519180615369032
96,A320,2011.0,,0.6648350179568997
97,A320,2011.0,,0.6576827518508412
100,A332,,,2.426600088920248
104,A319,2008.0,,0.7779550507610825
105,A319,2008.0,,0.8031570528222916
106,A319,1997.0,138.0,0.852506153967792
107,A319,1997.0,138.0,0.8960559149353489
108,A319,1998.0,138.0,0.7981471669326262
109,A319,1998.0,138.0,0.9295505061331788
110,A321,,,0.8829764536629896
111,A321,,,0.8328127618359238
112,A320,2018.0,,0.6660505502736763
113,A320,2010.0,168.0,0.7701999269300461
114,B752,1998.0,,1.2848945910640075
115,B752,1998.0,,1.3518655274217453
117,A320,2003.0,,0.7203639417685027
120,A320,2008.0,162.0,0.6961671027398427
121,A320,2008.0,162.0,0.6699924647539718
122,A320,,,0.7164864222457565
123,A320,,,0.7222756931398727
124,A319,,,0.6728572975933663
125,A319,,,0.7056440691951057
126,A319,,,0.6245984572734223
127,A319,,,0.6933969035882451
128,A319,,,0.7483431893919151
129,A319,,,0.7905919411919116
130,A319,,,0.8103420573501063
131,A320,,,0.7827015605426583
132,A320,,,0.7556239448643991
133,A319,,,0.7166145338488753
134,A319,2004.0,156.0,0.7426305765802992
135,A319,2004.0,156.0,0.7654514148834746
136,A319,2004.0,156.0,0.7832190789195105
137,A319,2004.0,147.0,0.7502806335146888
138,A319,2004.0,147.0,0.7305111539874252
143,E190,,,0.5574386511587671
144,E190,,,0.6106524105044644
145,E190,,,0.5480301549246734
146,E190,,,0.5721752391680912
147,E190,2011.0,106.0,0.611292602518358
148,E190,2011.0,106.0,0.5132550404598861
149,E190,2011.0,106.0,0.6013228728268277
150,E190,2011.0,106.0,0.4613868796160985
151,A320,2016.0,,0.5218433273910721
152,A320,2016.0,,0.5686051593766438
154,B738,2004.0,189.0,0.9773967065231772
155,B738,2004.0,189.0,0.7961254367741529
156,B738,2004.0,189.0,0.6912541247597372
157,B738,2012.0,189.0,0.7882362532726469
158,B738,2012.0,189.0,0.9367593369953224
0,A320,2011.0,163.0,0.5792318824276167
1,A320,2011.0,163.0,0.5973299224843326
2,A320,2011.0,163.0,0.6513420925011135
3,A320,2011.0,163.0,0.819360798590179
4,A320,,,0.698642656937294
5,A320,,,0.7400733577157684
6,B738,2010.0,,0.7912780128796393
7,B738,2010.0,,0.9460369958817824
8,B738,,,0.8051045484915464
9,B738,,,1.1553923441909555
18,A319,,,0.7147869873485724
19,A319,,,0.741655146434967
20,A319,,,0.7460042697651268
21,A319,,,0.7828947746051164
22,A319,,,0.817748925013711
23,A319,,,0.7921756131390851
29,A320,2002.0,,0.7389870463717293
30,A320,2002.0,,0.6477194893022478
31,A320,2002.0,,0.6821944006513403
32,A320,2002.0,,0.677059269538764
33,A320,2009.0,150.0,0.6763242971551765
34,A320,2009.0,159.0,0.7014474493401629
35,A319,1999.0,138.0,0.7757776373850367
36,A319,1999.0,138.0,0.7819438265846423
37,A319,2000.0,,0.7164083906142448
38,A319,2000.0,,0.6034876618466941
39,A319,2000.0,,0.7651582061252994
40,A319,2000.0,,0.7410861272525613
41,A319,2000.0,,0.744608267148952
42,A319,2000.0,,0.7538862129601317
43,A319,2001.0,,0.7314971884128675
44,A319,2006.0,,0.7367280622483501
45,A319,2006.0,,0.724362380169848
50,A321,2001.0,,0.8168367593243409
51,A321,2001.0,,0.7473955540134929
52,A321,2001.0,,0.7982792927619292
53,A321,2008.0,200.0,0.7254656437381044
54,A321,2008.0,200.0,0.7701456383770526
73,E190,2007.0,,0.5735084465770316
74,E190,,,0.5298852808307034
75,E190,,,0.546609871512212
76,E190,,,0.6048571564435766
77,E190,,,0.5675629642067431
78,E190,,,0.5666273726997898
79,E190,,,0.5995982175069106
80,E190,,,0.5908362142537642
81,A320,2010.0,,0.7391801056789893
82,A320,2010.0,,0.6923934644259431
83,A320,2010.0,,0.6677751369496557
84,A320,2010.0,,0.685556892327491
85,A320,2010.0,,0.7323465641565181
86,A320,2010.0,,0.6930067260653818
87,A320,2010.0,,0.6936196135498502
88,A320,2011.0,,0.6999910943407438
89,A320,2011.0,,0.7092103398765432
90,A320,2011.0,,0.6368920273050824
91,A320,2011.0,,0.6815185588700434
92,A320,2011.0,,0.6915789522608891
93,A320,2011.0,,0.7208881015314647
94,A320,2011.0,,0.6875649337268417
95,A320,2011.0,,0.7519180615369032
96,A320,2011.0,,0.6648350179568997
97,A320,2011.0,,0.6576827518508412
100,A332,,,2.426600088920248
104,A319,2008.0,,0.7779550507610825
105,A319,2008.0,,0.8031570528222916
106,A319,1997.0,138.0,0.852506153967792
107,A319,1997.0,138.0,0.8960559149353489
108,A319,1998.0,138.0,0.7981471669326262
109,A319,1998.0,138.0,0.9295505061331788
110,A321,,,0.8829764536629896
111,A321,,,0.8328127618359238
112,A320,2018.0,,0.6660505502736763
113,A320,2010.0,168.0,0.7701999269300461
114,B752,1998.0,,1.2848945910640075
115,B752,1998.0,,1.3518655274217453
117,A320,2003.0,,0.7203639417685027
120,A320,2008.0,162.0,0.6961671027398427
121,A320,2008.0,162.0,0.6699924647539718
122,A320,,,0.7164864222457565
123,A320,,,0.7222756931398727
124,A319,,,0.6728572975933663
125,A319,,,0.7056440691951057
126,A319,,,0.6245984572734223
127,A319,,,0.6933969035882451
128,A319,,,0.7483431893919151
129,A319,,,0.7905919411919116
130,A319,,,0.8103420573501063
