,type_avion,age_avion,nombre_passagers,consommation_carburant
2,A319,,,0.8897505300828282
3,A320,2002.0,,0.5848063021887898
4,A320,,,0.6705937506325111
5,A319,2000.0,,0.7971431248748319
6,A319,2000.0,,0.7752177843514391
7,A319,2000.0,,0.736957320880467
14,E190,2020.0,100.0,0.5107081475529308
15,A320,2012.0,,0.5488379215808937
16,A320,2012.0,,0.5718112139274456
19,A320,2010.0,168.0,0.6995236148480185
20,A320,2003.0,,0.7713754939489553
21,A320,,,0.6892921691344267
22,A320,,,0.7217891613430715
23,A320,2017.0,,0.7872002427221236
24,A320,2017.0,,0.675349979032585
25,A319,,,0.7041610697532982
26,A319,,,0.7387242342899255
27,E190,,,0.5072507615700826
28,E190,2011.0,,0.5833681390400682
29,B738,2008.0,189.0,0.6612730967755353
