,type_avion,emission_co2,emission_h2o,emission_sox,emission_nox,emission_co,emission_hc
0,A320,2084.553866001234,814.2271372440522,0.5560575571422793,8.886559126635659,3.0149297999962346,0.29125533503564754
1,A320,2461.6662005853073,961.5272869863222,0.6566527813565126,12.21456133939203,2.1498353294974355,0.19157724987828004
2,A320,1980.0102758597952,773.3923910154168,0.5281704133763823,7.210115622890952,2.1951199240865362,0.1649094838240292
3,B738,2558.1564254147197,999.2163871896175,0.6823916790563238,14.589018609812953,2.537568053819691,0.26160277844979657
4,B738,2942.1187484432426,1149.192143723464,0.7848141469330967,16.822630178381434,1.4884248548975125,0.15704107959820612
5,B738,2241.7278254210223,875.6193157408244,0.5979839229449531,9.026124285202052,1.579403958900533,0.12637847250703388
6,A320,5559.577363716103,2171.5719775709135,1.4830247651703796,43.72467305074621,2.0065961801538985,0.2911336503306195
7,A320,2360.1270624970107,921.8660803021039,0.629567079230704,11.621169062495316,2.4543184400861096,0.22939489042503813
10,A319,2909.575397390788,1136.480704601673,0.776133164118216,13.376935768575086,2.3439015159403045,0.06961288103994887
11,A319,2559.3305234032296,999.6749900876366,0.6827048712793625,11.485280868699354,3.503027506195243,0.15144196170555868
12,A319,2976.201065878263,1162.504703407516,0.7939056511075715,14.327471396375806,2.583547970975943,0.09258274311999438
13,A319,2748.000320481106,1073.369448774774,0.7330327942852108,12.144701941521788,2.6846770133143973,0.09145549477803125
16,A319,2950.549600695968,1152.4852362197655,0.7870630881500835,14.009549475994163,2.4908587330023604,0.08490275592961428
17,A319,2067.6306042973565,807.6169079980149,0.551543254242547,6.652939708878215,2.449317072821425,0.04641054368483516
18,A319,2692.7467564133103,1051.7873961220625,0.718293831497993,11.811685914479396,2.542128630610479,0.08113055016919808
19,A319,2293.4909537184276,895.8380035165659,0.6117918072796064,8.63838215806415,3.054786370127563,0.11030330171965129
21,A321,2765.0545821494457,1080.030846631889,0.7375820416022655,14.283689015471234,1.9041892387465482,0.1957091578454768
22,A321,2699.3576526152783,1054.369613438167,0.7200572969821638,14.14750003207512,2.01886176915647,0.20722965945108404
23,A321,2787.7862151789354,1088.9098268244186,0.7436457353922856,15.469054457460222,2.296409602469304,0.24190155338086405
24,A321,2916.802569296469,1139.303639325074,0.7780610219780989,17.779459857562014,1.8679068274043384,0.1984507542994961
26,A319,2220.327666313284,867.2604095158268,0.5922754016205652,8.128919530204307,3.1978380651485065,0.11711077328212412
27,A319,2486.2939461845367,971.1468891098701,0.6632222657335696,9.996609421289882,2.674283246995487,0.08566081214866363
28,A319,2278.3914074949635,889.9401178846641,0.6077639829456237,8.498115025988055,3.3189315084894946,0.12455764330670242
29,A319,2463.6096318253067,962.2863915989617,0.6571711942627059,10.030164206247495,2.4874991439436633,0.0697916683692326
30,A319,2680.127606881982,1046.8583539107133,0.7149276563292679,11.797919406353126,2.517737313297712,0.07976651787941912
34,A321,2814.0640532248935,1099.1739553720606,0.7506553841565287,16.353862924681888,1.9376295184605508,0.20454509012901517
35,A321,2757.934452428552,1077.249722606262,0.7356827373896425,15.366983742426362,1.7517966114585504,0.1796451379344877
36,A321,2862.3256980370793,1118.0249630313156,0.7635292430457755,16.130658647939782,2.2501877621900626,0.24008783026644898
47,A320,2159.4704503213443,843.4895693538424,0.5760416571196982,9.48742153003404,2.86957716313341,0.27204628074495957
48,A320,2256.3903743811893,881.3465101584193,0.601895177669165,10.542216180496997,2.5735335367709933,0.23892051571442643
49,A320,2207.777753386311,862.3584111353329,0.5889276954094954,10.101739263857196,2.6313164155597333,0.24388229481635312
50,A320,2083.84530492785,813.9503731537811,0.555868547519656,8.790290219890846,2.971061822792333,0.2838601482362685
51,A320,2465.17917696342,962.8994562289639,0.6575898725466094,13.24690728722271,3.25662921767643,0.34738471000249604
