,type_avion,consommation_carburant
0,B738,0.6647932731244572
4,A319,1.4323990683240138
5,A320,0.5482482456046812
7,A321,0.745348281998365
8,A321,0.8483654366339429
9,A321,0.9539590898607546
10,A319,0.8638597753883579
14,A321,0.9273117731711844
21,A320,1.362068630410171
22,A320,0.8711462207476879
23,A320,0.6501373585770465
24,A320,0.6582514560086906
25,A320,0.7421157225436505
29,A319,1.0946204769465233
31,A319,0.7493755448057815
33,A319,0.8419958484822927
34,A319,0.895562213091519
35,A320,0.712025106016925
36,A320,0.6673802951521691
37,A319,0.8582616587854709
38,A319,0.6454651066431786
39,E190,0.6020149232184497
40,B737,0.7680627325730703
41,E190,0.5714090139705748
43,B738,0.6550034953671092
44,B738,1.0795144802786392
45,B738,1.0215767077375357
46,B738,1.2011523639571084
