,type_avion,age_avion,nombre_passagers,consommation_carburant
0,B738,2006.0,,0.6571938498133783
1,A320,2011.0,163.0,0.6688903423165656
2,A320,2011.0,163.0,0.78242863765984
3,B738,2005.0,,0.6934656279384434
4,B738,2005.0,,0.7190323631213669
5,B738,2005.0,,0.9690401473854946
6,B738,2011.0,,0.7621115390034087
7,B738,2011.0,,0.9107186630766316
8,A320,2013.0,,0.6647926330887641
9,A320,2013.0,,0.7486680950170385
14,A319,,,0.7156888328649901
15,A319,,,0.6680416324206525
16,A319,,,0.8522854621760827
17,A319,,,0.6175416516786166
18,A319,,,0.8090388208860733
19,A319,,,0.7492126875914776
20,A319,,,0.6723835119640053
21,A319,,,0.6758418679348518
22,A319,,,0.866966669514045
23,A319,,,0.7766814767189396
24,A319,,,0.709392406853067
25,A319,,,0.8250248760818198
26,A320,,,0.8313987492618107
27,A320,,,0.757548267148958
29,A321,1995.0,,0.9459368779007544
30,A321,1995.0,,0.8691871941783141
31,A321,,,0.877190364424902
32,A321,,,0.8615218412074873
33,A321,,,0.849889529318571
34,A321,,,0.9230830959581144
35,A321,,,0.8874421694395931
36,A321,,,0.8864151534439456
37,A321,,,0.8563657091014713
38,A321,1995.0,,0.9019768159027304
39,A321,1995.0,,0.8756453128839542
40,A319,1999.0,138.0,0.7215683325257296
41,A319,1999.0,138.0,0.7618492885474425
42,A319,2000.0,,0.7960613078587341
43,A319,2000.0,,0.7548238107994999
44,A319,2000.0,,0.7317371692618183
45,A319,2001.0,,0.6862818993708041
46,A319,2001.0,,0.6953914999435322
47,A319,2001.0,,0.6805775392057934
52,A321,2008.0,,0.849236432727372
53,A321,2008.0,,0.951854583446024
54,A321,2008.0,,0.8853561529913668
55,A321,2008.0,,0.9728080257464924
56,A321,2008.0,,0.9117256986589438
57,A321,2008.0,,0.9021859171419347
58,A321,2008.0,,0.8367495618304416
59,A321,2008.0,,0.8937451756193148
60,A321,2008.0,,1.0749197872224394
61,A321,2008.0,,0.9066362003933796
62,A321,2008.0,,0.879042130868685
82,A320,2010.0,182.0,0.6750354347378554
83,A320,2010.0,182.0,0.6913866106661432
84,A320,2010.0,182.0,0.6892040658175473
85,A320,2010.0,182.0,0.7293513667515708
86,A320,2011.0,,0.7254947218818637
87,A320,2011.0,,0.722388776983587
88,A320,2011.0,,0.7054135242617569
