,type_avion,emission_co2,emission_h2o,emission_sox,emission_nox,emission_co,emission_hc
0,B738,2249.7284057203333,878.7443439301397,0.6001180885376576,9.767784355008521,1.681890332349305,0.14382576320970628
1,A320,1867.025892590135,729.2606693826189,0.4980316766515444,6.522687327635567,2.256049882508897,0.17211316571190147
2,A320,1807.7202881428511,706.0958889856164,0.48221182662432394,6.088905851713582,3.060862389708411,0.28178998166926417
3,A320,1720.6272884668863,672.0773467177738,0.45897965141701663,5.8848994724151975,4.398133214711697,0.4653337293977412
4,A320,2420.3341574906976,945.3829830782967,0.6456274030778621,11.963035037773077,2.2691390997765097,0.20347639278375984
5,B738,2604.0137302659164,1017.1282592019932,0.6946241770159957,14.376345840543493,2.1248221073386353,0.21550098853571634
6,B738,3756.5733053443514,1467.3182488325028,1.0020709992026855,26.14624021569283,1.4877533605395008,0.19721696265341443
7,B738,1843.2327751733026,719.9670731861421,0.49168483046858513,6.400266954828579,2.514147230309019,0.22306445171658446
8,B738,2138.9188167206944,835.4620973535898,0.5705594811195245,8.266465940793653,1.6168585870532146,0.12770794251714968
11,A320,2264.1933632386676,884.3943590929064,0.6039766354780822,10.63204172553084,2.8959923784770925,0.2832191711792371
12,A320,2310.3394700332615,902.4190371994005,0.6162861717459316,10.809333699443076,2.204729298324598,0.18987161711337777
13,A320,1846.0194466501691,721.0555475959699,0.49242817884602846,6.455358491951483,2.0206099811137577,0.13122625346886832
14,A320,1844.2143838198604,720.3504897105173,0.4919466758998666,6.595139786632999,2.0849057113025378,0.1441690775284799
17,A319,1976.0042336738934,771.8276301743061,0.527101796216599,6.0185131062475055,2.5794035896137073,0.04739596295532731
18,A319,2283.5225565090145,891.9443456672236,0.6091327238702993,8.823111406689167,3.3972979976732267,0.13162353421253445
19,A319,2485.0153747608224,970.647478868153,0.6628812050806887,10.141295591054122,2.487969225149646,0.07023413802138403
20,A319,2935.798441514287,1146.7234306327628,0.7831281965296923,13.799822096481334,2.5443846440625393,0.08644050162248737
21,A319,1984.4630326291249,775.1316386579304,0.5293581922541967,6.064540994845814,2.558644080388934,0.044524475050854634
22,A319,2280.496536390616,890.7623816324099,0.6083255289196942,9.467002557398354,3.9297124447388794,0.17590962159141407
23,A320,2150.2192589907795,839.8760522574347,0.5735738893465403,9.655051543867733,2.9100173314087954,0.28166904827752814
24,A320,2307.5858210487827,901.3434613813919,0.615551632162902,10.945670016615503,2.261796332173712,0.19988867649655429
25,A319,3166.2995986091455,1236.75722651294,0.8446146912771297,16.293380529644967,2.845851536058161,0.11798704213328913
26,A319,1720.3565917823817,671.9716125412289,0.45890744271108297,4.857700778631986,3.9476877459282522,0.16032466606411844
27,A319,2749.5069437807533,1073.957936122683,0.7334346880837825,12.767155183467938,2.762392337621369,0.10058364736122374
28,A319,2880.5388325611425,1125.1390168466826,0.7683876212611491,14.060234955496643,3.359012624112461,0.14754333257585925
29,A320,2194.384862177817,857.1271452774563,0.5853551236041173,9.686946594386974,2.671489442949678,0.2460087018456476
30,A320,1773.9749278936326,692.9149448425428,0.4732102062339322,5.849566787719557,3.190348943649926,0.2980980705401552
31,A320,2284.982150989848,892.5144635495441,0.6095220726679813,10.706096484553534,2.319705907245392,0.20575428069256205
32,A320,1778.9895170660834,694.8736443287648,0.47454785466354654,5.953911508899323,2.2666497485796744,0.17322541376552608
33,A320,2247.861113137809,878.0149790916167,0.5996199857211046,10.666207636874354,2.611377982938506,0.2469156260751444
34,A320,2122.049515428697,828.8729450547153,0.5660595722324883,9.126972185564316,2.862347945836324,0.269798191700201
35,A320,2105.856998953556,822.5481450342571,0.5617401966087608,8.945790246609588,2.8750187881944553,0.2727013190884768
36,A320,2177.3657713885623,850.4794851724137,0.5808152581665266,9.884994515729469,2.9028730776906775,0.2789529612942727
37,A321,2861.748288716331,1117.7994268406119,0.7633752183301736,17.092999015189157,2.561374321911302,0.2746285840860109
38,A321,3064.036376654188,1196.8131925324387,0.8173358388026409,20.5735722885728,2.5036751940433493,0.2776731014649715
39,A321,2752.0575040604376,1074.954185453903,0.7341150534807137,15.13032576664369,1.8946076968236019,0.19828611036140992
40,A321,3162.3715291265735,1235.2229218246066,0.8435668734411946,20.93857683170002,1.8716373820077599,0.20661368354473778
41,A321,2684.387535172303,1048.5222827125865,0.7160639979500587,15.290857582581843,2.9226542252785483,0.3162341878301846
42,A321,2622.8388742259017,1024.481364019643,0.6996458095743913,13.028725098323136,2.189839289865839,0.22374573065469522
43,A321,2765.6111735415548,1080.2482513356981,0.7377305131073062,15.391463974219835,1.8370930471517726,0.18921814246563276
44,A321,2634.7790265603135,1029.145189796502,0.7028308613244403,13.835997631680284,2.418063758831988,0.25179081107343143
45,A321,3008.7734179367626,1175.2274703277915,0.8025943699799555,18.42465069918241,1.8221408693700571,0.19514761770191413
46,A319,2545.349522847686,994.2140086067494,0.6789754205119265,10.847338064548836,2.685185484727044,0.08822784663383719
47,A319,2191.150876336547,855.8639497916641,0.5844924535162582,8.283458862656893,3.5888008047249924,0.14495667227268116
48,A319,2464.407276251444,962.5979516637913,0.6573839669899051,9.946878747499271,2.921781821303432,0.10175104993408077
49,A319,3145.5191526006925,1228.6403803426024,0.839071479258362,15.69774558013393,2.5602142930208402,0.09454816267036974
50,A319,2551.1144302393145,996.4657825323461,0.680513217339163,10.904390600906947,2.7443135206587304,0.0938658310779428
51,A319,1909.439688818114,745.8275062706489,0.5093456140384933,5.662612485366208,2.346027118143443,0.038748042178914706
52,A319,2295.5646902231133,896.648005390418,0.6123449792910174,8.672596610658635,2.782725502357313,0.08480549182706972
53,A319,2212.6636267144463,864.26683418824,0.5902310087139199,8.287783715191528,3.2135241207127723,0.11668016994776355
54,A319,2536.710851339896,990.8397418698244,0.6766710432281725,10.951112165840154,2.7694894866902366,0.0949744430689242
60,A321,2877.7864169545687,1124.0639227863187,0.7676534106833394,16.934070582049582,1.86869899910154,0.19786532418921154
61,A321,2692.8237266764395,1051.8174607215053,0.7183143634195646,14.310790252278744,2.089232777700493,0.21674611117192183
