,type_avion,age_avion,nombre_passagers,consommation_carburant
5,A319,,,0.8593194548788834
6,A319,,,0.9138873345233582
7,A319,,,0.7781100010305305
9,A320,2002.0,,0.7782017197665144
10,A320,2002.0,,0.7920677273958409
11,A320,2009.0,159.0,0.7474894724414745
12,A320,2009.0,159.0,0.7458917627492961
13,A321,1995.0,,0.8555151090587901
14,A321,,,0.9078820488090005
15,A321,,,0.8301766684387577
16,A321,1995.0,,0.8472948137794695
17,A319,1999.0,138.0,0.7040209095395402
18,A319,2000.0,,0.8877419210017887
19,A319,2000.0,,0.7471762450690849
20,A319,2000.0,,0.7406788411507993
21,A319,2001.0,,0.53972968517209
22,A319,2003.0,,0.726926153757845
23,A321,2008.0,,0.7171607017699344
24,A321,2008.0,,0.7119675846156815
25,A321,2009.0,,1.189349266426264
26,A321,2009.0,,0.9125861743958417
27,A321,2009.0,,0.6963072816871417
33,A320,2011.0,,0.7745962961008057
34,A320,2011.0,,0.714029962215247
35,A320,2011.0,,0.6696626988266828
36,A320,2011.0,,0.721904456645772
37,A320,2011.0,,0.7229626113967014
38,A320,2010.0,165.0,0.5804204033843359
42,A319,2013.0,,0.7325025055771317
43,A319,2013.0,,1.054058856332909
44,A319,1997.0,138.0,0.7394185795924713
46,B752,1995.0,,1.085491656665721
49,A319,2006.0,156.0,0.755833682561737
50,A319,2006.0,156.0,0.7349890737564582
51,A319,,,0.9737531281976246
52,A319,,,0.8390651881472485
53,A319,2008.0,156.0,0.6432518882820711
54,A319,2008.0,156.0,0.8337565899833767
55,A319,2008.0,156.0,0.7446957406059064
58,E190,,,0.49450721333080827
59,E190,2012.0,106.0,0.5742765575599256
60,E190,2012.0,106.0,0.5870335699883056
63,B738,2006.0,,0.7381201563641181
64,B738,2006.0,,0.9361573045412741
