,type_avion,age_avion,nombre_passagers,consommation_carburant
0,B738,2006.0,162.0,0.8194136076864563
1,B738,2006.0,162.0,0.6967412386344148
2,A320,2013.0,145.0,0.6368100077627781
3,A320,2013.0,145.0,0.8080369399639413
4,A320,2001.0,,0.6481908901135431
5,A320,2001.0,,0.6900440272546875
7,B738,,,0.6567804350154731
8,B738,,,0.6846036167955032
11,A320,2013.0,,0.6906220060695383
12,A320,2013.0,,0.7075063038501418
13,A319,,,0.8041688011249127
14,A319,,,0.7349018276379906
15,A320,,,0.7029893816066772
16,A320,,,0.6912062351635981
17,A319,,,0.6198236417890588
18,A319,,,0.6279922908610891
19,A319,,,0.7560295497232267
20,A319,,,0.754657169436747
21,A319,,,0.6850029485797566
22,A320,,,0.7904168491905738
23,A320,,,0.7651987274419563
26,A321,1994.0,,0.9083596813434988
27,A321,1995.0,,0.8565773042494578
28,A321,1995.0,,0.9236251188166568
29,A321,1995.0,,0.8048195247110163
30,A321,1995.0,,0.9503322827101807
32,A321,2008.0,,0.8246685611179436
33,A321,2009.0,,0.8644441050719258
34,A321,2009.0,,0.8459213054604184
48,A320,2010.0,,0.6842927816851041
49,A320,2010.0,,0.5671707265112873
50,A320,2010.0,,0.6656728261836405
51,A320,2010.0,,0.676094638651387
52,A320,2011.0,,0.6604206831133311
53,A320,2011.0,,0.6894619636794665
54,A320,2011.0,,0.6766100606663528
55,A320,2011.0,,0.5579817834672683
56,A320,2011.0,,0.5777939084244301
57,A320,2011.0,,0.741290253190702
58,A320,2011.0,,0.7065019321859938
59,A320,2011.0,,0.6334171253677567
62,B738,,,0.789916074187021
63,B738,,,0.6607268628299994
66,A319,,,0.6971185803343365
67,A319,,,0.8876255586051681
68,A320,2014.0,168.0,0.7112994107497038
69,A320,2010.0,168.0,0.6839250632058204
70,A320,2010.0,168.0,0.6676050304470996
71,A320,2010.0,168.0,0.851894083930171
72,A320,2012.0,168.0,0.6232606242059592
73,A320,2012.0,168.0,0.8925197932550132
74,A320,2013.0,168.0,0.6131729454090723
75,A319,2006.0,156.0,0.7392737514983667
76,A319,2006.0,156.0,0.749703301276177
77,A320,2008.0,,0.6879988062023943
78,A320,2008.0,,0.7172902591984159
79,A320,2008.0,162.0,0.7364316985285516
80,A320,,,0.7323582186171873
81,A320,,,0.66893140986014
82,A320,,,0.6967131998254007
83,A320,,,0.6746788767159209
84,A320,,,0.73482517812178
85,A320,,,0.7502922929736919
86,A320,,,0.5843698846554792
87,A319,2006.0,156.0,0.6979472514983212
88,A319,2006.0,156.0,0.7322045863366063
89,A319,2006.0,156.0,0.7908288372263398
90,A319,2006.0,156.0,0.7055742446959741
91,A319,2006.0,156.0,0.7901743812350606
92,A319,2006.0,156.0,0.7054279705857557
93,A319,2006.0,156.0,0.6777322336437274
94,A319,2006.0,156.0,0.6316973958290495
95,A319,,,0.7237303908607718
96,A319,,,0.6291952816220432
97,A319,,,0.732126464160878
98,A319,,,0.7298866730530283
99,A319,,,0.7355998330880155
100,A319,,,0.7804996213140607
101,A320,,,0.6574734915308493
102,A320,,,0.7345699458806667
103,A320,,,0.6550585637540283
104,A320,,,0.7066072811265294
105,A320,,,0.7599486477270783
106,A320,,,0.6557097492512929
107,A319,2004.0,156.0,0.6060787494847004
108,A320,2008.0,168.0,0.7775791111586687
109,A320,2008.0,168.0,0.6709773077395805
110,A319,0.0,,0.7529533553843304
111,E190,,,0.46675343198419417
112,B737,2010.0,129.0,0.7119201168373924
113,B737,2010.0,129.0,0.6885647308788176
114,E190,,,0.5112828947253025
117,E190,2011.0,,0.5267596418390313
118,E190,2012.0,,0.48026914638952767
119,E190,2012.0,,0.5838244462673823
120,E190,2012.0,,0.4600962029198351
121,E190,2012.0,,0.5547293544437893
124,A320,2017.0,186.0,0.5381123758799118
125,A320,2017.0,186.0,0.5637978293610333
126,B738,2014.0,151.0,0.5384446128183797
127,B738,2014.0,151.0,0.6432684156431998
128,B738,2007.0,189.0,0.6919295561702294
129,B738,2007.0,189.0,0.6708430652835902
130,B738,2010.0,189.0,0.7746384751212555
131,B738,2010.0,189.0,0.8428094776891809
132,B738,2012.0,189.0,0.7065209490533098
133,B738,2012.0,189.0,0.697554360044897
136,B738,2017.0,189.0,0.7121783431762171
137,B738,2017.0,189.0,0.7980223754429576
138,B738,2017.0,189.0,0.8575802267583397
139,B738,2017.0,189.0,0.6456929420733719
140,B738,2017.0,189.0,0.6830934968329437
141,B738,2017.0,189.0,0.7549807303113857
142,B738,2017.0,189.0,0.883915809466358
143,B738,2017.0,189.0,0.8685719315387888
